url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/DATA-SCIENCE-ELECTORAL-CARLOS-MERLO-ebook/dp/B093239B61/ref=sr_1_36?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-36,DATA SCIENCE ELECTORAL,0.0,0,0.0,0.0,600.0,600.0,0.0,600.0
https://www.amazon.com.mx/dp/B0933FMJK2/ref=sr_1_27?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-27,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud (English Edition)",0.0,0,0.0,0.0,481.57,481.57,481.57,481.57
https://www.amazon.com.mx/Data-Science-AWS-End-End-ebook/dp/B0921MXC9S/ref=sr_1_24?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-24,"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines (English Edition)",0.0,0,0.0,0.0,865.22,865.22,865.22,865.22
https://www.amazon.com.mx/Beginning-Data-Science-R-English-ebook/dp/B00QRSSCIG/ref=sr_1_21?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-21,Beginning Data Science with R (English Edition),0.0,0,0.0,0.0,820.96,820.96,820.96,820.96
https://www.amazon.com.mx/dp/B0932W6YW8/ref=sr_1_16?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-16,Space Sciences Data Processing (English Edition),0.0,0,0.0,0.0,279.4,279.4,279.4,279.4
https://www.amazon.com.mx/Statistical-Learning-Science-Computer-Analysis-ebook/dp/B008472OKA/ref=sr_1_40?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-40,Statistical Learning and Data Science (Chapman & Hall/CRC Computer Science & Data Analysis) (English Edition),0.0,0,0.0,654.8,929.76,929.76,929.76,929.76
https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05254352QIEXLUS465JR&url=%2FWhat-Your-Customer-Wants-Cant-ebook%2Fdp%2FB091V3YDHQ%2Fref%3Dsr_1_18_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Ddata%2Bscience%26qid%3D1619021523%26sr%3D8-18-spons%26psc%3D1&qualifier=1619021523&id=3086838407053858&widgetName=sp_mtf,What Your Customer Wants and Can’t Tell You: Unlocking Consumer Decisions with the Science of Behavioral Economics (English Edition),0.0,0,0.0,0.0,161.14,161.14,161.14,161.14
https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01307062L89LLHXRG1QN&url=%2FThis-Wi-Fi-Organic-Spotting-Misleading-ebook%2Fdp%2FB08W9K84HB%2Fref%3Dsr_1_17_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Ddata%2Bscience%26qid%3D1619021523%26sr%3D8-17-spons%26psc%3D1&qualifier=1619021523&id=3086838407053858&widgetName=sp_mtf,Is This Wi-Fi Organic?: A Guide to Spotting Misleading Science Online (Science Myths Debunked) (English Edition),0.0,0,0.0,0.0,192.0,192.0,192.0,192.0
https://www.amazon.com.mx/Data-Science-Advanced-Strategies-Business/dp/1913597466/ref=sr_1_96?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-96,Data Science: Advanced Method And Strategies To Learn Data Science For Business,0.0,0,165.8,0.0,0.0,0.0,165.8,0.0
https://www.amazon.com.mx/Structures-Knowledge-Discovery-Classification-Organization-ebook/dp/B00X9NZLMW/ref=sr_1_93?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-93,"Data Science, Learning by Latent Structures, and Knowledge Discovery (Studies in Classification, Data Analysis, and Knowledge Organization) (English Edition)",0.0,0,0.0,564.78,98.0,98.0,98.0,98.0
